{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.28, 'prop-target-estimate': 1.0, 'oracle': 0.28, 'classical': nan, 'supervised': nan, 'iter': 39, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 3150, 'n_target': 50, 'labeled': True, 'classical': 0.08, 'supervised': 0.0075, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 91, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 350, 'labeled': True, 'classical': 0.0275, 'supervised': 0.1025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 29, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 32, 'n_target': 50, 'labeled': False, 'lipton': 0.4775, 'prop-target-estimate': 0.78, 'oracle': 0.4775, 'classical': nan, 'supervised': nan, 'iter': 98, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.28, 'prop-target-estimate': 0.8125, 'oracle': 0.28, 'classical': nan, 'supervised': nan, 'iter': 28, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.76, 'oracle': 0.06, 'classical': nan, 'supervised': nan, 'iter': 89, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.2275, 'prop-target-estimate': 0.74, 'oracle': 0.2275, 'classical': nan, 'supervised': nan, 'iter': 32, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.0175, 'supervised': 0.0775, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 81, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 50, 'n_target': 6350, 'labeled': True, 'classical': 0.0025, 'supervised': 0.015, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 12, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.17, 'prop-target-estimate': 0.78, 'oracle': 0.17, 'classical': nan, 'supervised': nan, 'iter': 96, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.1275, 'prop-target-estimate': 0.625, 'oracle': 0.1275, 'classical': nan, 'supervised': nan, 'iter': 32, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.0525, 'prop-target-estimate': 0.7, 'oracle': 0.0525, 'classical': nan, 'supervised': nan, 'iter': 36, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 32, 'n_target': 50, 'labeled': False, 'lipton': 0.0925, 'prop-target-estimate': 0.68, 'oracle': 0.0925, 'classical': nan, 'supervised': nan, 'iter': 94, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.0275, 'supervised': 0.0525, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 50, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0034, 'n_source': 8, 'n_target': 50, 'labeled': False, 'lipton': 0.37, 'prop-target-estimate': 0.7, 'oracle': 0.37, 'classical': nan, 'supervised': nan, 'iter': 37, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.72, 'oracle': 0.07, 'classical': nan, 'supervised': nan, 'iter': 53, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.035, 'prop-target-estimate': 0.68, 'oracle': 0.035, 'classical': nan, 'supervised': nan, 'iter': 79, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.43, 'prop-target-estimate': 0.64, 'oracle': 0.43, 'classical': nan, 'supervised': nan, 'iter': 72, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.5025, 'prop-target-estimate': 1.0, 'oracle': 0.5025, 'classical': nan, 'supervised': nan, 'iter': 8, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 150, 'labeled': True, 'classical': 0.045, 'supervised': 0.1075, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 48, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 50, 'n_target': 64, 'labeled': False, 'lipton': 0.1, 'prop-target-estimate': 0.75, 'oracle': 0.1, 'classical': nan, 'supervised': nan, 'iter': 79, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.12, 'prop-target-estimate': 0.7460937500000001, 'oracle': 0.12, 'classical': nan, 'supervised': nan, 'iter': 24, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.4375, 'prop-target-estimate': 0.5, 'oracle': 0.4375, 'classical': nan, 'supervised': nan, 'iter': 80, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.125, 'prop-target-estimate': 0.5, 'oracle': 0.125, 'classical': nan, 'supervised': nan, 'iter': 99, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.02, 'prop-target-estimate': 0.64, 'oracle': 0.02, 'classical': nan, 'supervised': nan, 'iter': 34, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 6350, 'labeled': True, 'classical': 0.005, 'supervised': 0.0125, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 0, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.3325, 'prop-target-estimate': 0.625, 'oracle': 0.3325, 'classical': nan, 'supervised': nan, 'iter': 36, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 512, 'n_target': 50, 'labeled': False, 'lipton': 0.0375, 'prop-target-estimate': 0.7, 'oracle': 0.0375, 'classical': nan, 'supervised': nan, 'iter': 89, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.12, 'supervised': 0.01, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 81, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 16, 'n_target': 50, 'labeled': False, 'lipton': 0.1875, 'prop-target-estimate': 0.74, 'oracle': 0.1875, 'classical': nan, 'supervised': nan, 'iter': 78, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 512, 'n_target': 50, 'labeled': False, 'lipton': 0.035, 'prop-target-estimate': 0.7400000000000001, 'oracle': 0.035, 'classical': nan, 'supervised': nan, 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.27, 'prop-target-estimate': 0.82, 'oracle': 0.27, 'classical': nan, 'supervised': nan, 'iter': 10, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.4325, 'prop-target-estimate': 0.755859375, 'oracle': 0.4325, 'classical': nan, 'supervised': nan, 'iter': 88, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.025, 'supervised': 0.0625, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 61, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 4, 'n_target': 50, 'labeled': False, 'lipton': 0.495, 'prop-target-estimate': 0.66, 'oracle': 0.495, 'classical': nan, 'supervised': nan, 'iter': 11, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.35, 'prop-target-estimate': 0.7578125, 'oracle': 0.35, 'classical': nan, 'supervised': nan, 'iter': 5, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.2675, 'prop-target-estimate': 0.7, 'oracle': 0.2675, 'classical': nan, 'supervised': nan, 'iter': 95, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.09, 'supervised': 0.01, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 54, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 2048, 'n_target': 50, 'labeled': False, 'lipton': 0.23, 'prop-target-estimate': 0.78, 'oracle': 0.23, 'classical': nan, 'supervised': nan, 'iter': 82, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0037, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.15, 'prop-target-estimate': 0.84375, 'oracle': 0.15, 'classical': nan, 'supervised': nan, 'iter': 21, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 64, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.734375, 'oracle': 0.08, 'classical': nan, 'supervised': nan, 'iter': 21, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.0475, 'prop-target-estimate': 0.58, 'oracle': 0.0475, 'classical': nan, 'supervised': nan, 'iter': 66, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.12, 'prop-target-estimate': 0.5, 'oracle': 0.12, 'classical': nan, 'supervised': nan, 'iter': 97, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0031, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.5, 'prop-target-estimate': 0.76171875, 'oracle': 0.5, 'classical': nan, 'supervised': nan, 'iter': 61, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.1, 'prop-target-estimate': 0.7539062500000001, 'oracle': 0.1, 'classical': nan, 'supervised': nan, 'iter': 0, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.0425, 'prop-target-estimate': 0.72, 'oracle': 0.0425, 'classical': nan, 'supervised': nan, 'iter': 78, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.2075, 'prop-target-estimate': 0.74609375, 'oracle': 0.2075, 'classical': nan, 'supervised': nan, 'iter': 7, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.225, 'prop-target-estimate': 0.76, 'oracle': 0.225, 'classical': nan, 'supervised': nan, 'iter': 20, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.21, 'prop-target-estimate': 0.78125, 'oracle': 0.21, 'classical': nan, 'supervised': nan, 'iter': 41, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 64, 'n_target': 50, 'labeled': False, 'lipton': 0.105, 'prop-target-estimate': 0.68, 'oracle': 0.105, 'classical': nan, 'supervised': nan, 'iter': 42, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.2275, 'prop-target-estimate': 0.72, 'oracle': 0.2275, 'classical': nan, 'supervised': nan, 'iter': 91, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0035, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.4225, 'prop-target-estimate': 0.736328125, 'oracle': 0.4225, 'classical': nan, 'supervised': nan, 'iter': 20, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.2875, 'prop-target-estimate': 0.75, 'oracle': 0.2875, 'classical': nan, 'supervised': nan, 'iter': 83, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 750, 'n_target': 50, 'labeled': True, 'classical': 0.06, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 32, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.2525, 'prop-target-estimate': 0.72, 'oracle': 0.2525, 'classical': nan, 'supervised': nan, 'iter': 71, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 3150, 'labeled': True, 'classical': 0.01, 'supervised': 0.035, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 61, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 6350, 'labeled': True, 'classical': 0.0, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 58, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.0275, 'prop-target-estimate': 0.8200000000000001, 'oracle': 0.0275, 'classical': nan, 'supervised': nan, 'iter': 46, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 16, 'n_target': 50, 'labeled': False, 'lipton': 0.5125, 'prop-target-estimate': 0.66, 'oracle': 0.5125, 'classical': nan, 'supervised': nan, 'iter': 36, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.435, 'prop-target-estimate': 0.78125, 'oracle': 0.435, 'classical': nan, 'supervised': nan, 'iter': 16, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0029, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.045, 'prop-target-estimate': 0.86, 'oracle': 0.045, 'classical': nan, 'supervised': nan, 'iter': 3, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0052, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.15, 'prop-target-estimate': 0.76953125, 'oracle': 0.15, 'classical': nan, 'supervised': nan, 'iter': 19, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.1025, 'supervised': 0.0, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 71, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 4, 'n_target': 50, 'labeled': False, 'lipton': 0.5075, 'prop-target-estimate': 0.66, 'oracle': 0.5075, 'classical': nan, 'supervised': nan, 'iter': 45, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.095, 'prop-target-estimate': 0.625, 'oracle': 0.095, 'classical': nan, 'supervised': nan, 'iter': 88, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.4425, 'prop-target-estimate': 0.75, 'oracle': 0.4425, 'classical': nan, 'supervised': nan, 'iter': 48, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 350, 'labeled': True, 'classical': 0.025, 'supervised': 0.0875, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 7, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.0775, 'prop-target-estimate': 0.72, 'oracle': 0.0775, 'classical': nan, 'supervised': nan, 'iter': 12, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0037, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.115, 'prop-target-estimate': 0.875, 'oracle': 0.115, 'classical': nan, 'supervised': nan, 'iter': 90, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.86, 'oracle': 0.04, 'classical': nan, 'supervised': nan, 'iter': 56, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 2048, 'n_target': 50, 'labeled': False, 'lipton': 0.015, 'prop-target-estimate': 0.74, 'oracle': 0.015, 'classical': nan, 'supervised': nan, 'iter': 49, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 3150, 'labeled': True, 'classical': 0.005, 'supervised': 0.055, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 76, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.3225, 'prop-target-estimate': 0.75, 'oracle': 0.3225, 'classical': nan, 'supervised': nan, 'iter': 40, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.01, 'supervised': 0.075, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 97, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0054, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.2175, 'prop-target-estimate': 0.62, 'oracle': 0.2175, 'classical': nan, 'supervised': nan, 'iter': 45, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.1175, 'prop-target-estimate': 0.75390625, 'oracle': 0.1175, 'classical': nan, 'supervised': nan, 'iter': 59, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 3150, 'n_target': 50, 'labeled': True, 'classical': 0.115, 'supervised': 0.0025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 7, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.075, 'supervised': 0.025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 33, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.305, 'prop-target-estimate': 0.84, 'oracle': 0.305, 'classical': nan, 'supervised': nan, 'iter': 4, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'labeled': True, 'classical': 0.0775, 'supervised': 0.01, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 54, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.06, 'supervised': 0.01, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 95, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 150, 'labeled': True, 'classical': 0.025, 'supervised': 0.095, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0052, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.0925, 'prop-target-estimate': 0.8437500000000001, 'oracle': 0.0925, 'classical': nan, 'supervised': nan, 'iter': 71, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 150, 'labeled': True, 'classical': 0.06, 'supervised': 0.105, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 20, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.4575, 'prop-target-estimate': 0.68, 'oracle': 0.4575, 'classical': nan, 'supervised': nan, 'iter': 88, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 12750, 'n_target': 50, 'labeled': True, 'classical': 0.07, 'supervised': 0.005, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 97, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.86, 'oracle': 0.08, 'classical': nan, 'supervised': nan, 'iter': 13, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.025, 'prop-target-estimate': 0.6800000000000002, 'oracle': 0.025, 'classical': nan, 'supervised': nan, 'iter': 95, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0059, 'n_source': 16, 'n_target': 50, 'labeled': False, 'lipton': 0.275, 'prop-target-estimate': 0.7800000000000001, 'oracle': 0.275, 'classical': nan, 'supervised': nan, 'iter': 56, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.335, 'prop-target-estimate': 0.25, 'oracle': 0.335, 'classical': nan, 'supervised': nan, 'iter': 14, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 50, 'n_target': 1550, 'labeled': True, 'classical': 0.01, 'supervised': 0.0525, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 48, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0035, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.03, 'supervised': 0.0675, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 50, 'n_target': 12750, 'labeled': True, 'classical': 0.005, 'supervised': 0.0025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 29, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0061, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.2375, 'prop-target-estimate': 0.8, 'oracle': 0.2375, 'classical': nan, 'supervised': nan, 'iter': 49, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.2925, 'prop-target-estimate': 0.68, 'oracle': 0.2925, 'classical': nan, 'supervised': nan, 'iter': 77, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.31, 'prop-target-estimate': 0.72, 'oracle': 0.31, 'classical': nan, 'supervised': nan, 'iter': 52, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.4675, 'prop-target-estimate': 0.8750000000000001, 'oracle': 0.4675, 'classical': nan, 'supervised': nan, 'iter': 45, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 12750, 'n_target': 50, 'labeled': True, 'classical': 0.1075, 'supervised': 0.0025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 14, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 32, 'n_target': 50, 'labeled': False, 'lipton': 0.265, 'prop-target-estimate': 0.76, 'oracle': 0.265, 'classical': nan, 'supervised': nan, 'iter': 21, 'setup': 'constant-prop-source'}
